title;artist;lyrics
クリスマス・イブ(kurisumasuibu);山下達郎;雨は夜更け過ぎに雪へと変わるだろうSilent night, Holy nightきっと君は来ないひとりきりのクリスマス・イブSilent night, Holy night心深く秘めた想い叶えられそうもない必ず今夜なら言えそうな気がしたSilent night, Holy nightまだ消え残る君への想い夜へと降り続く街角にはクリスマス・トゥリー銀色のきらめきSilent night, Holy night雨は夜更け過ぎに雪へと変わるだろうSilent night, Holy nightきっと君は来ないひとりきりのクリスマス・イブSilent night, Holy night
RIDE ON TIME(raidoontaimu);山下達郎;青い水平線をいま駆け抜けてくとぎすまされた時の流れ感じてAHときめきへと動き出す世界は忘れかけてた遠い夢の訪れRIDE ON TIMEさまよう想いならやさしく受け止めてそっと包んでRIDE ON TIME心に火を点けてあふれる喜びに拡がれRIDE ON TIME僕の輝く未来さあ回り始めて虚ろな日々も全て愛に溶け込むAH何という朝今すぐ君のもと届けに行こう燃える心迷わずRIDE ON TIME時よ走り出せ愛よ光り出せ 目もくらむ程RIDE ON TIME心に火を点けて飛び立つ魂に送るよRIDE ON TIME届けに行こう燃える心今こそRIDE ON TIME時よ走り出せ愛よ光り出せ 目もくらむ程RIDE ON TIME心に火を点けて飛び立つ魂に送るよRIDE ON TIME
ずっと一緒さ(zuttoisshosa);山下達郎;抱きしめてしじまの中であなたの声を聞かせてこびりつく涙を融かして冬はもうすぐ終わるよいくつもの悲しみをくぐリ抜けたそのあとでつないだ手の温かさが全てを知っているあなたとふたりで生きて行きたいそれだけで何もいらない昼も夜も夢の中までずっとずっと一緒さ傷付いた心のかけらをひとつ残らずひろって愛という不思議なジグソーつなぐ欠片(ピース)を探すよ本当の強さは「ひとりじゃない」って言えること風の中で寄り添う花のように秘めやかにあなたとふたりで生きて行けたら何度でも生まれ変われるたどリ着いた僕らの場所でずっとずっと一緒さあなたとふたりで生きて行きたいそれだけで何もいらない時の海に未来を浮かべずっとずっとずっと一緒さずっとずっと一緒さずっと一緒さ…
僕らの夏の夢(bokuranonatsunoyume);山下達郎;あの丘の向こうに僕らの夏がある変わらないもの美しいものすべてそこにある太陽の行方を向日葵が追いかける風の音さえ聞こえないほど僕らは見つめ合う心と心を重ねて光の滴で満たして手と手を固く結んだら小さな奇跡が生まれる信じて欲しいんだ未来が見えるんだ君の瞳に空の碧さが映るそのたびに零戦が空を飛ぶはるかな時代から僕らがここで出会えることもきっと決まってた幾千の愛の記憶を僕らは辿って行こうよとこしえに君を守るよ僕らの歴史が始まるOh運命がここからどこへと向かおうと雲に描いた白い約束決して忘れない心と心を重ねて僕らは夏の夢を見る手と手を固く結んだら小さな奇跡が生まれる僕らの奇跡が生まれる真夏の奇跡が…(Mother of Summer)(We are together …)
さよなら夏の日(sayonaranatsunohi);山下達郎;波打つ夕立のプールしぶきを上げて一番素敵な季節がもうすぐ終わる「時が止まればいい」僕の肩でつぶやく君見てたさよなら夏の日いつまでも忘れないよ雨に濡れながら僕等は大人になって行くよ瞳に君を焼き付けた尽きせぬ想い明日になればもうここには僕等はいない巡る全てのもの急ぎ足で変わって行くけれど君を愛してる世界中の誰よりも言葉じゃ言えないもどかしさ伝えたいよ今もごらん最後の虹が出たよ空を裸足のまま駆けて行くどうぞ変らないでどんな未来訪れたとしてもさよなら夏の日いつまでも忘れないよ雨に濡れながら僕等は大人になって行くよさよなら夏の日僕等は大人になって行くよ
SPARKLE(supakuru);山下達郎;七つの海から集まって来る女神達のドレスに触れた途端に拡がる世界は不思議な輝きを放ちながら心へと忍び込む高くて届かぬ愛の行方も夜を担う夕闇降り始めたら素敵なざわめき心に投げ掛けてただ懐かしい思い出に摩り替えるSparkle in my heartWonder in your world
希望という名の光(kiboutoiunanohikari);山下達郎;この世でたったひとつの命を削りながら歩き続けるあなたは自由という名の風底知れぬ闇の中からかすかな光のきざし探し続ける姿は勇気という名の船だからどうぞ泣かないでこんな古ぼけた言葉でも魂で繰り返せばあなたのため祈りを刻める眠れない夜のために子守歌があるように傷付いた心には愛という名の絆をA Ray Of Hope For YouA Ray Of Hope For MeA Ray Of Hope For LifeFor Everyone運命に負けないでたった一度だけの人生を何度でも起き上がって立ち向かえる力を送ろうどうぞ忘れないで移ろう時代(とき)の中からあなたを照らし続ける希望という名の光をあなたを照らす光を希望という名の光をA Ray Of Hope For YouA Ray Of Hope For MeA Ray Of Hope For LifeFor Everyone…
蒼氓(soubou);山下達郎;遠く翳る空からたそがれが舞い降りるちっぽけな街に生まれ人混みの中を生きる数知れぬ人々の魂に届く様に凍りついた夜にはささやかな愛の歌を吹きすさんだ風に怯えくじけそうな心へと泣かないでこの道は未来へと続いている限りない命のすきまをやさしさは流れて行くもの生き続ける事の意味誰よりも待ち望んでいたいさみしさは琥珀となりひそやかに輝き出す憧れや名誉はいらない華やかな夢も欲しくない生き続ける事の意味それだけを待ち望んでいたいTo find out the truth of life!たそがれが降りて来る歌声が聴こえて来る…La La La La…
YOUR EYES(yuaaizu);山下達郎;I'm dreamingand in my dream, I see your eyes They fill my heart with heavenI'm flyingand in the sky, I see your eyes They answer all my longingfor youI've always lived my life in fantasyNo chance to take, no heart to breakBut now you take my hand and,you make me understandthat two dreams, can join togetherIt's morningand as I wake, I see your eyes They are my reason, they are my answer nowBecause I love youThe one who made my dreams come true
DONUT SONG(donatsusongu);山下達郎;逢ったその日に虜になってだけどうまく言えなくてふたりドーナツ・ショップさ夏の公園通りが揺れるまるでカタパルト燃える風と転がる坂道シャイなハートで駆け昇るOH君とだけドーナツOH食べたいなドーナツOH甘いキスドーナツOHその先はドーナツ僕はツイスト君にはハニーディップ最後は二人でエンゼルクリームOH晴れた空ドーナツOH穴が開くドーナツ今日が特別な日でもないしまして未来のことなど僕にわかるはずもない今はステディじゃなくていいよいつかチャンスが来るまで君のほほえみのそばにいれるだけで幸せさOH君とだけドーナツOH食べたいなドーナツOH顔中にドーナツOH砂糖つけてドーナツせまるツイストよろめくハニーディップいつかはとろけるエンゼルクリームOH君のことドーナツOH好きなのさドーナツOHだから君とだけドーナツOH食べたいのさドーナツOHそうさ君とだけドーナツOH食べたいのさドーナツOH甘いキスドーナツOHその先もドーナツOH君とだけドーナツOH食べたいなドーナツOH甘いキスドーナツOHその先はドーナツ OH Do-Do-Do-Do-Doドーナツ OH Do-Do-Do-Do-DoドーナツOHDo-Do-Do-Do-DoドーナツOHDo-Do-Do-Do-Doドーナツ
あまく危険な香り(amakukikennakaori);山下達郎;あなたの思わせぶりな口づけは耐え切れぬ程の苦しさ心は暗がりの扉の影で報われぬ愛の予感に震える息をひそめた夜にまぎれて忘れかけてた愛の香りよいちどは傷ついたはずの心で信じ合えるにはあまりに悲し過ぎる二度と振り向く事は出来ないあまく危険な愛の香りよあなたに取り戻す日々はもうないそっと目かくしのふりして通り過ぎる
RECIPE (レシピ)(reshipi);山下達郎;君のため選んだしあわせのレシピを始めよう今夜もキャンドルを灯してやすらぎのスープに今日の日を溶かしてくちづけのテリーヌにはげましのジュレ添えてさみしさを炙ってとまどいを煮込めば僕と君の想いやがてひとつに薫り出すゆううつなスパイスもほほえみのポトフに投げ込んでしまえれば形も残らない君としあわせのレシピでしあわせを作ろうよしあわせのレシピで愛をもっと味わいたいやさしさのムニエル美しいマリネ胸焦がすグリエ匂い立つフロマージュこぼれ出る心ひとつまみのジェラシーいつかみんな混ざり合ってきれいな愛になるとびきりのキュイジーヌおやすみのブリュレをもうひとつ今夜はまどろみをほおばって夢へと届くように君としあわせのレシピでしあわせになろうよしあわせのレシピで君をもっと味わいたいしあわせのレシピでしあわせを作ろうよしあわせのレシピで愛をもっと味わいたいしあわせのレシピでしあわせになろうよしあわせのレシピで君をもっと味わいたいしあわせのレシピで…
Christmas Eve -English Version(kurisumasuibuingurisshubajon);山下達郎;All alone I watch the quiet rainWonder if it's gonna snow againSilent night, Holy nightI was prayingyou'd be here with meBut Christmas Eve ain't what it used to be Silent night, Holy nightIf you were beside me Then I could hear angelsAnd I'd give you rainbows,for Christmas Somewhere far away the sleighbells ring I remember when we used to sing Silent night, Holy night I keep you inside me Oh the truth is unspoken So my heart won't be broken,on Christmas They lit the trees along the avenue Twinkling silver with a touch of blue Silent night, Holy night All alone I watch the quiet rain Wonder if it's gonna snow again Silent night, Holy night I was praying you'd be here with me But Christmas Eve ain't what it used to be Silent night, Holy night
高気圧ガール(koukiatsugaru);山下達郎;なめらかな白い砂は溜息の照り返ししなやかな南風は舞い上がる長い髪2000マイル飛び越えて迎えに来たのさ“Come With Me”連れて行っておくれどこまでも高気圧ガール…永遠のひるさがりにくちづけの虹をかける目くばせに指をからめ華やかな愛をくれる限りない夏の匂い両手に抱えて“Come With Me”離さないよ君をもう二度と高気圧ガール…終わりなき夏の色を僕にいつまでも変わらぬ愛添えて2000マイル飛び越えて僕に囁くのさ“Come With Me”連れて行っておくれ今すぐに高気圧ガール…
GET BACK IN LOVE(gettobakkuinrabu);山下達郎;誰もいない風の道を見つめていた朝の事を思い出して僕等は又ここで出会った薄明かりのガラス窓にいつか落ちた雨のひとすじが浮かんでいる全てが皆移り変わって行ってもGET BACK IN LOVE AGAINもう一度僕を信じて思い出にしたくないあなたを…止まらないで過ぎた日々に残して来た悲しみの数を数えないであなたはまだひとりきりじゃないから GET BACK IN LOVE AGAINもう一度僕を愛して想い出は欲しくないあなたを取り戻したい遠ざかる記憶でさえ奪えないものがあるGET BACK IN LOVE AGAINもう一度僕を信じて想い出にしたくないあなたを取り戻したいGET BACK IN LOVE AGAINもう一度僕を愛して想い出は欲しくないあなたを取り戻したい
